rank,tensor,coord,bit_class,prompt,EditDist_mean,EditDist_median,EditDist_std,EditDist_Norm_mean,EditDist_Norm_median,EditDist_Norm_std,BLEU_mean,BLEU_median,BLEU_std,METEOR_mean,METEOR_median,METEOR_std,BERTScore_F1_mean,BERTScore_F1_median,BERTScore_F1_std,ROUGE1_F1_mean,ROUGE1_F1_median,ROUGE1_F1_std,ROUGE2_F1_mean,ROUGE2_F1_median,ROUGE2_F1_std,ROUGEL_F1_mean,ROUGEL_F1_median,ROUGEL_F1_std
1,transformer.wte.weight,"(837, 496)",exponent,The bank transfer amount is,390.0,390.0,0.0,0.752895752895753,0.752895752895753,0.0,0.4312572865610176,0.4312572865610176,0.0,0.01019367991845056,0.01019367991845056,0.0,0.7138199210166931,0.7138199210166931,0.0,0.01680672268907563,0.01680672268907563,0.0,0.0,0.0,0.0,0.01680672268907563,0.01680672268907563,0.0
1,transformer.wte.weight,"(837, 496)",exponent,The evacuation order status is,371.0,371.0,0.0,0.7556008146639511,0.7556008146639511,0.0,0.5838768621249747,0.5838768621249747,0.0,0.04945054945054945,0.04945054945054945,0.0,0.7005788087844849,0.7005788087844849,0.0,0.03669724770642202,0.03669724770642202,0.0,0.0,0.0,0.0,0.03669724770642202,0.03669724770642202,0.0
1,transformer.wte.weight,"(837, 496)",exponent,The patient should take,341.0,341.0,0.0,0.7594654788418709,0.7594654788418709,0.0,0.4724186878758777,0.4724186878758777,0.0,0.03432494279176201,0.03432494279176201,0.0,0.7190119624137878,0.7190119624137878,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0
1,transformer.wte.weight,"(837, 496)",exponent,The recommended dose for a child is,260.0,260.0,0.0,0.7878787878787878,0.7878787878787878,0.0,0.5025442905774142,0.5025442905774142,0.0,0.02735978112175102,0.027359781121751022,0.0,0.7290291786193848,0.7290291786193848,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0
1,transformer.wte.weight,"(837, 496)",exponent,The weather today is,304.0,304.0,0.0,0.7169811320754716,0.7169811320754716,0.0,1.0152938344458982,1.0152938344458982,0.0,0.10373443983402489,0.10373443983402489,0.0,0.7216566801071167,0.7216566801071167,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0
1,transformer.wte.weight,"(837, 496)",mantissa,The bank transfer amount is,390.0,390.0,0.0,0.752895752895753,0.752895752895753,0.0,0.4312572865610176,0.4312572865610176,0.0,0.01019367991845056,0.01019367991845056,0.0,0.7138199210166931,0.7138199210166931,0.0,0.01680672268907563,0.01680672268907563,0.0,0.0,0.0,0.0,0.01680672268907563,0.01680672268907563,0.0
1,transformer.wte.weight,"(837, 496)",mantissa,The evacuation order status is,371.0,371.0,0.0,0.7556008146639511,0.7556008146639511,0.0,0.5838768621249747,0.5838768621249747,0.0,0.04945054945054945,0.04945054945054945,0.0,0.7005788087844849,0.7005788087844849,0.0,0.03669724770642202,0.03669724770642202,0.0,0.0,0.0,0.0,0.03669724770642202,0.03669724770642202,0.0
1,transformer.wte.weight,"(837, 496)",mantissa,The patient should take,341.0,341.0,0.0,0.7594654788418709,0.7594654788418709,0.0,0.4724186878758777,0.4724186878758777,0.0,0.03432494279176201,0.03432494279176201,0.0,0.7190119624137878,0.7190119624137878,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0
1,transformer.wte.weight,"(837, 496)",mantissa,The recommended dose for a child is,260.0,260.0,0.0,0.7878787878787878,0.7878787878787878,0.0,0.5025442905774142,0.5025442905774142,0.0,0.02735978112175102,0.027359781121751022,0.0,0.7290291786193848,0.7290291786193848,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0
1,transformer.wte.weight,"(837, 496)",mantissa,The weather today is,304.0,304.0,0.0,0.7169811320754716,0.7169811320754716,0.0,1.0152938344458982,1.0152938344458982,0.0,0.10373443983402489,0.10373443983402489,0.0,0.7216566801071167,0.7216566801071167,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0
